,0,1
0,Ai,https://osf.io/h736a
1,Sense Logic,https://osf.io/f7289
2,design AI,https://osf.io/yfhc7
3,"Modelling the epidemic trend of the 2019-nCOV outbreak in Hubei Province, China",https://osf.io/h92sc
4,Experiment ended,https://osf.io/u87r3
5,Experiment ended,https://osf.io/qvkr7
6,Experiment ended,https://osf.io/wscq9
7,Experiment ended,https://osf.io/7xz3y
8,Experiment ended,https://osf.io/286yg
9,Experiment ended,https://osf.io/baj2g
10,Experiment ended,https://osf.io/buhkr
11,Experiment ended,https://osf.io/d7rfq
12,Experiment ended,https://osf.io/4x6uw
13,Experiment ended,https://osf.io/r9bm2
14,Experiment ended,https://osf.io/zd6r7
15,Experiment ended,https://osf.io/6bdzq
16,Experiment ended,https://osf.io/bdj7u
17,Experiment ended,https://osf.io/4r2zx
18,Experiment ended,https://osf.io/7exfm
19,Bard can read and summarize a research paper,https://osf.io/thf5c
20,Experiment ended,https://osf.io/6crpj
21,Experiment ended,https://osf.io/9f3cp
22,Experiment ended,https://osf.io/e8x6z
23,Bard can read and summarize a research paper,https://osf.io/thf5c
24,Bard explains the main content and further development’s potential of “Social identity loss and reverse culture shock: Experiences of international students in China during the COVID-19 pandemic”,https://osf.io/psvxn
25,Experiment ended,https://osf.io/tvpxd
26,Experiment ended,https://osf.io/q7an9
27,Experiment ended,https://osf.io/wmtdv
28,Experiment ended,https://osf.io/yecmj
29,Experiment ended,https://osf.io/s2tze
30,Experiment ended,https://osf.io/s2tze
31,Experiment ended,https://osf.io/63q5h
32,Experiment ended,https://osf.io/m59wh
33,The Laws of AI,https://osf.io/m9rgy
34,Emotional A.I. research: The importance of data-philosophizing to account for cultural differences,https://osf.io/sgdzj
35,Peran Media Sosial dan Pandangan Mahasiswa Terhadap Identitas Nasional di Masa Pandemi,https://osf.io/ngdhk
36,"Deep Fakes, Artificial Intelligence &amp; Eco Species",https://osf.io/u6qdf
37,MODIFIED AGGLOMERATIVE CLUSTERING WITH LOCATION QUOTIENT FOR IDENTIFICATION OF  REGIONAL POTENTIAL SECTOR,https://osf.io/squg9
38,Multiview Hierarchical Agglomerative Clustering for Identification of Development Gap and Regional Potential Sector,https://osf.io/syn4t
39,Chatbot in isiXhosa for Remote Pre/post-Natal Care,https://osf.io/jm54z
40,"Analysis of Artificial Intelligence Applications in Healthcare: a review of technologies, ethical concerns, and regulatory issues",https://osf.io/beudp
41,AI in Third World Farming,https://osf.io/54kqn
42,Desain Produk Inovatif dengan AI,https://osf.io/qkver
43,Beyond the AI Divide: Towards an Inclusive Future Free from AI Caste Systems and AI Dalits,https://osf.io/g5yq2
44,kecerdasan buatan (AI),https://osf.io/qzrfp
45,Studi Inovasi Desain Produk Baut Berbasis Artificial Intelligence,https://osf.io/zwq48
46,Experiment ended,https://osf.io/epqbg
47,Breaking News: Machine Learning Helps to Spot Fake News Before it Spreads,https://osf.io/ce5hz
48,Khi đứa trẻ chơi cờ vua: Cảm xúc của trí tuệ nhân tạo,https://osf.io/948xs
49,Preparing humanity for change and artificial intelligence,https://osf.io/g5qwc
