,0,1
0,Identifying Most Suitable Priority Areas for Soil-Water Conservation Using Coupling Mechanism in Guwahati Urban Watershed,https://osf.io/89mnx
1,Generating complex explanations from machine learning models using class-contrastive reasoning,https://osf.io/ntx7c
2,Kajian Inovasi Desain Produk Gelang Pintar Berbasis AI,https://osf.io/epq7g
3,Artificial Intelligence Report,https://osf.io/d286c
4,Scheduling Courses using Genetic Algorithms,https://osf.io/zvung
5,Data Compression Using Elias Delta Code,https://osf.io/84vnd
6,Telematics: Tele-Operated System,https://osf.io/a49nm
7,In Praise of Empathic AI,https://osf.io/py8tv
8,Unraveling the Code: Navigating the Landscape of Machine Learning Innovations,https://osf.io/syefk
9,Experiment ended,https://osf.io/7ahyu
10,"An Ethical Framework for a Good AI Society: Opportunities, Risks, Principles, and Recommendations",https://osf.io/2hfsc
11,The Effect of Artificial Amalgamates on Identifying Pathogenesis,https://osf.io/m3yrc
12,Personality associations with attitudes toward AI,https://osf.io/bhcfq
13,artificial intelligence,https://osf.io/t36sp
14,"Deep Fakes, Artificial Intelligence &amp; Eco Species",https://osf.io/u6qdf
15,Adjustable Knapsack in Travelling Salesman Problem Using Genetic Process,https://osf.io/54spk
16,Information Generation as a Functional Basis of Consciousness,https://osf.io/7ywjh
17,Review Artikel Artificial Intelligence ALAM,https://osf.io/fghjy
18,Viral Automation: The Case of COVID-19,https://osf.io/u6fht
19,Leveraging Meta-Analysis for Deep Learning-Enhanced Chatbot Intelligence,https://osf.io/w9qpx
20,Artificial consciousness for Artificial Intelligence,https://osf.io/uf6tx
21,Can Artificial Intelligence be Conscious?,https://osf.io/7hj8n
22,Governance of a DAO for Facilitating Dialogue on Human-Algorithm Interaction and the Impact of Emerging Technologies on Society,https://osf.io/wexjr
23,Unraveling the Code: Navigating the Landscape of Machine Learning Innovations,https://osf.io/nvj42
24,Educational Research and AI-Generated Writing: Confronting the Coming Tsunami,https://osf.io/4mec3
25,Desain Produk Inovatif dengan AI,https://osf.io/qkver
26,Experiment ended,https://osf.io/f59u6
27,Ethical Procedures for Responsible Experimental Evaluation of AI-based Education Interventions,https://osf.io/3dynw
28,Studi Inovasi Desain Produk Baut Berbasis Artificial Intelligence,https://osf.io/zwq48
29,The Phenomenon of Research and Development Method in Research of Software Engineering,https://osf.io/rj4ze
30,Machines with minds: Beliefs about the mental lives of robots and implications for human reasoning,https://osf.io/4rnw3
31,ChatGPT kan kort Afrikaanse gedigte skep en verdedig: Implikasies vir die praktyk,https://osf.io/yd6kt
32,Meta-Analysis of Machine Learning Algorithms for Deep Learning Chatbots,https://osf.io/935n2
33,Strategic Insights: Leveraging AI and Analytics for Competitive Advantage,https://osf.io/jtv35
34,Inovasi Desain Produk Tas Berbasis AI,https://osf.io/gs2nh
35,Some Characteristics and Arguments in Favor of a Science of Machine Behavior Analysis,https://osf.io/ha3wr
36,Heuristic Function Influence to the Global Optimum Value in Shortest Path Problem,https://osf.io/mwxkj
37,Automated Artificial Intelligence Algorithm Adoption AAIAA,https://osf.io/ycbxs
38,The Phenomenon of Research and Development Method in Research of Software Engineering,https://osf.io/rj4ze
39,Open research case study - Artificial Intelligence,https://osf.io/nb7p9
40,The AI-Human Unethicality Gap: Plagiarizing AI-generated Content Is Seen As More Permissible,https://osf.io/na3wb
41,Stroke physicians’ and staff perspectives on machine learning to optimise thrombolysis decision making in stroke: a qualitative study,https://osf.io/v9mgn
42,The Double-Edged Sword of AI Writing Tools,https://osf.io/wnpd5
43,Abilities of Current Artificial Intelligence Systems to Learn Social Skills,https://osf.io/r3ktj
44,Thinking through generated writing,https://osf.io/4th3x
45,Studi Inovasi Desain Produk Sepatu Berbasis Artificial Intelligence,https://osf.io/u8tnq
46,Americans’ attitudes toward advancements in generative artificial intelligence,https://osf.io/q6x23
47,The Human Roots of Artificial Intelligence,https://osf.io/cseqt
48,Crossing Rivers Problem Solution with Breadth-First Search Approach,https://osf.io/b7h4a
49,The Impact of Artificial Intelligence on Complexity,https://osf.io/rtw9b
50,“ChatGPT Seems Too Good to be True”: College Students’ Use and Perceptions of Generative AI,https://osf.io/6tjpk
51,Using ChatGPT effectively for academic writing: An auto-ethnographical report,https://osf.io/bxtes
52,Kunstmatige intelligentie voor klinische toepassing van beeldvorming in de psychiatrie,https://osf.io/whns9
53,Machine learning training to support diversity of opinion,https://osf.io/m6fdg
54,"The mind as a sponge, its cognitive artifacts, and being in the 21st century",https://osf.io/hvz6g
55,The Conceptualization and Measurement of Emotion in Machine Learning: A Critical Appraisal and Recommendations from Psychology,https://osf.io/edrw3
56,Crossing Rivers Problem Solution with Breadth-First Search Approach,https://osf.io/b7h4a
57,Kegiatan Marketing Modern serta Penggunaan Kecerdasan Buatan (AI) untuk Meningkatkan Efektivitas Pemasaran Perusahaan,https://osf.io/pceyd
