,0,1
0,"Assessing Novelty, Feasibility, and Value of Creative Ideas with an Unsupervised Approach Using GPT-4",https://osf.io/qr3fs
1,The pragmatic profile of ChatGPT: assessing the communicative skills of a conversational agent,https://osf.io/ckghw
2,AI in Relationship Counselling: Evaluating ChatGPT’s Therapeutic Capabilities in Providing Relationship Advice,https://osf.io/3zajt
3,MuFIN: A Framework for Automating Multimodal Feedback Generation using Generative Artificial Intelligence,https://osf.io/3asxz
4,Fine-tuning human for LLM projects,https://osf.io/9js3b
5,Large language models as models of human cognition,https://osf.io/wxt69
6,Talk to me: A dialogue with artificial intelligence about its use in education and research,https://osf.io/p4sm7
7,"Authors in the age of language-generation AI: to be or not to be, that is… the question?",https://osf.io/7uy63
8,"Artificial Intelligence, Large Language Models, and Large Vision Models in Education",https://osf.io/h9r4z
9,Can AI Provide Useful Holistic Essay Scoring?,https://osf.io/7xpre
10,Is ChatGPT Effective in Providing Educational Feedback? A Quantitative Analysis of Summative Feedback,https://osf.io/zrmhs
11,Formulation as Representation - Modelling the Cognitive Space of Mental Health Clinical Reasoning,https://osf.io/b4j39
12,HAROR: A System for Highlighting and Rephrasing Open-Ended Responses,https://osf.io/4a3vk
13,Explainability of Large Language Models (LLMs) in Providing Cybersecurity Advice,https://osf.io/q84rk
14,A Longchain Approach to Reduce Hallucinations in Large Language Models,https://osf.io/dgnbt
15,Utilizing Large Language Models to Analyze Common Law Contract Formation,https://osf.io/d5jsn
16,Thinking Creatively Makes You Happier. Using Latent Semantic Distance To Investigate Happiness,https://osf.io/q9x8m
17,Are Chatbots the New Relationship Experts? Insights from Three Studies,https://osf.io/nh3v9
18,Personalized Learning Squared (PLUS): Doubling Math Learning through  AI-assisted Tutoring,https://osf.io/hxp4c
19,Enhancing Rationality in Large Language Models through Bi-Directional Deliberation,https://osf.io/dcf92
20,Privacy Audit of Commercial Large Language Models with Sophisticated Prompt Engineering,https://osf.io/cr2tx
21,How funny is ChatGPT? A comparison of human- and A.I.-produced jokes,https://osf.io/5yz8n
22,Auditing Large Language Models for Privacy Compliance with Specially Crafted Prompts,https://osf.io/8tgkx
23,Attributions toward Artificial Agents in a modified Moral Turing Test,https://osf.io/4gxtk
24,Optimizing Llama 7B for Medical Question Answering: A Study on Fine-Tuning Strategies and Performance on the MultiMedQA Dataset,https://osf.io/g5aes
25,Cross-Lingual Factual Accuracy and Ideological Divergence in Large Language Models,https://osf.io/9vdz6
26,Turing Jest: Do Large Language Models have a Sense of Humor?,https://osf.io/6xfn8
27,Accelerated Cognitive Warfare via The Dual Use of Large Language Models,https://osf.io/2xwm8
28,Beyond the Pass Mark: the Accuracy of ChatGPT and Bing in the National Medical Licensure Examination in Japan,https://osf.io/5uxra
29,Can Large Language Models (LLM) label topics from a topic model?,https://osf.io/23x4m
30,Cross-Lingual Factual Accuracy and Ideological Divergence in Large Language Models,https://osf.io/9vdz6
31,Retrieval Augmented Generation via Context Compression Techniques for Large Language Models,https://osf.io/ua6j5
32,Quantifying UncertAInty: Testing the Accuracy of LLMs’ Confidence Judgments,https://osf.io/47df5
33,Augmenting Large Language Models with Reverse Proxy Style Retrieval Augmented Generation for Higher Factual Accuracy,https://osf.io/ma6cq
34,Automating Psychological Hypothesis Generation with AI: Large Language Models Meet Causal Graph,https://osf.io/7ck9m
35,Using embeddings to automate jingle–jangle detection and tackle taxonomic incommensurability,https://osf.io/9h7aw
36,Efficient Model Compression and Knowledge Distillation on LLama 2: Achieving High Performance with Reduced Computational Cost,https://osf.io/hax36
37,Improving Generalization Beyond Training Data with Compositional Generalization in Large Language Models,https://osf.io/wkb32
38,Reducing Inference Hallucinations in Large Language Models through Contextual Positional Double Encoding,https://osf.io/p7nz9
39,Implementing An Automated Socratic Method to Reduce Hallucinations in Large Language Models,https://osf.io/grh4b
40,Baby steps in evaluating the capacities of large language models,https://osf.io/uacjm
41,Assessing Semantic Resilience of Large Language Models to Persuasive Emotional Blackmailing Prompts,https://osf.io/6em7n
42,Innovative Applications of Large Language Models for Medical Record Access Audits,https://osf.io/a9ubh
43,Comparing Children and Large Language Models in Word Sense Disambiguation: Insights and Challenges,https://osf.io/zgy7v
44,Generating Meaning: Active Inference and the Scope and Limits of Passive AI,https://osf.io/8xgzv
45,Can Large Language Models Provide Feedback to Students? A Case Study on ChatGPT,https://osf.io/hcgzj
46,"The fourth annual Carnegie Mellon Libraries hackathon for biomedical data management, knowledge graphs, and deep learning",https://osf.io/k4rh6
47,Language-based game theory in the age of artificial intelligence,https://osf.io/cuf8z
48,Outcomes that matter to depressed adolescents can be identified with large language models,https://osf.io/t9fcp
