,0,1
0,ChatGPT: A Practical Guide for Healthcare Professionals to Navigate the Volatile World of Large Language Models,https://osf.io/8m75s
1,Is AI Hijacking Our Agency?,https://osf.io/8bpaq
2,BioHackJP 2023 Report R1:Improving phenotype ontology interoperability,https://osf.io/d27fw
3,Durably reducing conspiracy beliefs through dialogues with AI,https://osf.io/xcwdn
4,Fine-tuning Llama with Case Law Data to Improve Legal Domain Performance,https://osf.io/e6mjs
5,The Use of AI by Election Campaigns,https://osf.io/zm2r6
6,Text2Time: Transformer-based Article Time Period Prediction,https://osf.io/7ujwt
7,Using AI to Detect AI-Generated Research Papers,https://osf.io/7rbds
8,Whither developmental psycholinguistics?,https://osf.io/zm57t
9,Benchmarking AI and Human Text Classifications in the Context of Newspaper Frames,https://osf.io/ce7jx
10,Verbal Reports as Data Revisited: Using Natural Language Models to Validate Cognitive Models,https://osf.io/eukqr
11,Benchmarking the Hallucination Tendency of Google Gemini and Moonshot Kimi,https://osf.io/83rq9
12,Testing the Reliability of ChatGPT for Text Annotation and Classification: A Cautionary Remark,https://osf.io/rvy5p
13,Medicine based on Symptoms: Improving Large Language Models to Answer Multiple Choice Questions,https://osf.io/2fhbm
14,Using Large Language Models in Real Estate Transactions: A Few-shot Learning Approach,https://osf.io/kb9cu
15,Large language models complement human participants through role simulation,https://osf.io/uqxcb
16,Large Language Models Can Infer Personality from Free-Form User Interactions,https://osf.io/apc5g
17,How to use misinformation from LLM to our advantage,https://osf.io/pzm6f
18,Can Artificial Intelligence be Conscious?,https://osf.io/7hj8n
19,Can we utilize Large Language Models (LLMs) to generate useful linguistic corpora? A case study of the word frequency effect in young German readers,https://osf.io/gm9b6
20,Can we utilize Large Language Models (LLMs) to generate useful linguistic corpora? A case study of the word frequency effect in young German readers,https://osf.io/gm9b6
21,Math anxiety and associative knowledge structure are entwined in psychology undergraduate students but not in Large Language Models,https://osf.io/e5t7a
22,Adversarial vulnerability following LLM low-resource language fine-tuning: Short report,https://osf.io/bzd6w
23,ChatGPT Usage and Limitations,https://osf.io/5ue7n
24,ChatGPT as a COBUILD lexicographer,https://osf.io/t9mbu
25,A Stateful Multi-Context Aware Design Using OpenAI's GPT (Towards Digital Sentience),https://osf.io/bx29f
26,"Academic Writing with GPT-3.5: Reflections on  Practices, Efficacy and Transparency",https://osf.io/e3yfk
27,"Academic Writing with GPT-3.5: Reflections on  Practices, Efficacy and Transparency",https://osf.io/knbwc
28,"Academic Writing with GPT-3.5: Reflections on  Practices, Efficacy and Transparency",https://osf.io/vg5f6
29,Multimodal Integration in Large Language Models: A Case Study with Mistral LLM,https://osf.io/9y5ds
30,A Practical Approach to Deploying LLM Chatbots for Human-AI Interaction Research,https://osf.io/mhs37
31,Fine-tuning human for LLM projects,https://osf.io/9js3b
32,Guidance for Researchers and Peer-reviewers on the Ethical Use of Large Language Models (LLM) in Scientific Research Workflows,https://osf.io/6uh8p
33,Validity of Large Language Models for Sentiment Analysis: Evidence of performance comparable to human coders,https://osf.io/kcuwy
34,Shadows of wisdom: Classifying meta-cognitive and morally-grounded narrative content via Large Language Models,https://osf.io/x2f4a
35,Achieving Higher Factual Accuracy in Llama LLM with Weighted Distribution of Retrieval-Augmented Generation,https://osf.io/ctw8v
36,LLM-Assisted Innovations in Self-Referential Logic &amp; Meta-Mathematics,https://osf.io/vbsau
37,Large Language Models and Academic Writing: Five tiers of engagement,https://osf.io/63vcu
38,The Curious Case of the RTT:  AI-Assisted Well-Ordering of the Reals without the Axiom of Choice,https://osf.io/snpeq
39,AI-Assisted Resolution of Russell’s Paradox,https://osf.io/p62kr
40,Overlap in Meaning Is a Stronger Predictor of Semantic Activation in GPT-3 Than in Humans,https://osf.io/dx5hc
41,Finetuning and Improving Prediction  Results of LLMs Using Synthetic Data,https://osf.io/k8gwa
42,Transparency Guidance  for ChatGPT Usage in Scientific Writing,https://osf.io/b58ex
43,LLM Based Math Tutoring: Challenges and Dataset,https://osf.io/5zwv3
