,0,1
0,"Reasoning AI (RAI), Large Language Models (LLMs) and Cognition",https://osf.io/65rkw
1,Finetuning and Improving Prediction  Results of LLMs Using Synthetic Data,https://osf.io/k8gwa
2,Explainability of Large Language Models (LLMs) in Providing Cybersecurity Advice,https://osf.io/q84rk
3,Coursera-REC: Explainable MOOCs Course Recommendation using RAG-facilitated LLMs,https://osf.io/dnf7r
4,Can we utilize Large Language Models (LLMs) to generate useful linguistic corpora? A case study of the word frequency effect in young German readers,https://osf.io/gm9b6
5,Dynamic Supplementation of Federated Search Results for Reducing Hallucinations in LLMs,https://osf.io/x5vge
6,Boosting Textual Understanding in LLMs with Context-Aware Flexible Length Tokenization,https://osf.io/9gnjt
7,"Language Writ Large:  LLMs, ChatGPT, Grounding, Meaning and Understanding",https://osf.io/ch2wx
8,A Proposed Framework for Human-like Language Processing of ChatGPT in Academic Writing,https://osf.io/bcjdy
9,Exploring Application of LLMs and AI-based Models in Addressing EDI Concerns,https://osf.io/7mwhd
10,Using LLMs to label medical papers according to the CIViC evidence model,https://osf.io/brxnp
11,Cognitive science as a guide for the use of LLMs in education,https://osf.io/jh95z
12,Are LLMs “just” next-token predictors?,https://osf.io/y34ur
13,Policies in Parallel? A Comparative Study of Journalistic AI Policies in 52 Global News Organisations,https://osf.io/c4af9
14,Coping through Precise Labeling of Emotions: A Deep Learning Approach to Studying Emotional Granularity in Consumer Reviews,https://osf.io/hjtfn
15,The Risks of Using Large Language Models for Text Annotation in Social Science Research,https://osf.io/79qu8
16,Problem-Based Learning-Path Recommendations Through Integrating Knowledge Graphs and Large Language Models,https://osf.io/w8kdt
17,Quantifying UncertAInty: Testing the Accuracy of LLMs’ Confidence Judgments,https://osf.io/47df5
18,Can LLMs evaluate items measuring collaborative problem-solving?,https://osf.io/tuvks
19,Machine Learning and the Analysis of Culture,https://osf.io/nvtp2
20,Beyond Bias: Studying ‘culture’ in LLMs and AI chatbots,https://osf.io/kz2xc
21,Comprehensive Overview of Large Language Models (LLMs): Grasping Their Essence,https://osf.io/xbtzw
22,Engaging Comparative Literature in AI Development,https://osf.io/z9pxn
23,The Power of Words: An Overview of Large Language Models (LLMs) and Their Significance in AI,https://osf.io/qzney
24,A Step-By-Step Method for Cultural Annotation by LLMs,https://osf.io/zuejp
25,A Looking Glass into a Research Wonderland: 40 Years of Virtual Reality Scholarship Explicated via Natural Language Processing,https://osf.io/2z5cj
26,A tutorial on open-source large language models for behavioral science,https://osf.io/f7stn
27,Large language models could change the future of behavioral healthcare:  A proposal for responsible development and evaluation,https://osf.io/cuzvr
28,How to write effective prompts for large language models,https://osf.io/r78fc
29,A Large Language Models Digest For Social Scientists,https://osf.io/m74vs
30,Progress and challenges in the symbiosis of AI with science and medicine,https://osf.io/dxuwp
31,“Conversing” with Qualitative Data: Enhancing Qualitative Research through Large Language Models (LLMs),https://osf.io/yms8p
32,Using Large Language Models to Mitigate Ransomware Threats,https://osf.io/mzsnh
33,Can Large Language Models Exhibit Cognitive and Affective Empathy as Humans?,https://osf.io/w5rsu
34,A clarification of the conditions under which Large language Models could be conscious,https://osf.io/gp3vx
35,Harnessing the Power of Large Language Models (LLMs) for Climate Modeling and Environmental Solutions,https://osf.io/rwy9d
36,Language as a cognitive and social tool at the time of LLMs,https://osf.io/vaxdt
37,Evaluating Large Language Models for Assisting in Meta-Analysis,https://osf.io/dc6tz
38,LLM-Assisted Innovations in Self-Referential Logic &amp; Meta-Mathematics,https://osf.io/vbsau
39,AI Psychometrics: Assessing the psychological profiles of large language models through psychometric inventories,https://osf.io/jv5dt
40,"Under what circumstances do Large Language Models (LLMs) outperform humans, and who judges? A systematic review of task types and benchmarking criteria in social science literature",https://osf.io/d84as
41,"The Role of Large Language Models (LLMs) in Automated News Writing, Fact-Checking, and the Future of Journalism",https://osf.io/72etr
42,The threat of Artificial Intelligence to online qualitative methods: an experiential account.,https://osf.io/9cpg7
43,Pseudo Factor Analysis of Language Embedding Similarity Matrices: New Ways to Model Latent Constructs,https://osf.io/vf3se
44,Ask and You Shall Receive (a Graph Drawing): Testing ChatGPT’s Potential to Apply Graph Layout Algorithms,https://osf.io/wsvx7
45,Large Language Models Amplify Human Biases in Moral Decision-Making,https://osf.io/aj46b
46,Using ChatGPT and Other Large Language Model (LLM) Applications for Academic Paper Assignments,https://osf.io/d84q6
47,"The Seven Wonderings of Large Language Models as Psychometric Designers, Refiners, and Analysts",https://osf.io/kmqy5
48,ChatGPT's Capabilities in Spotting and Analyzing Writing Errors Experienced by EFL Learners,https://osf.io/eynuv
49,ChatGPT’s Capabilities in Spotting and Analyzing Writing Errors Experienced by EFL Learners,https://osf.io/chygw
50,Using Large Language Models in Real Estate Transactions: A Few-shot Learning Approach,https://osf.io/kb9cu
51,Should large language models replace human participants?,https://osf.io/4zdx9
52,The chatbots’ challenge in education: Disruption or destruction? (Reflections based on conversations with ChatGPT),https://osf.io/5mfhr
53,MacBehaviour: An R package for behavioural experimentation on large language models,https://osf.io/ywtfd
54,Evaluating Large Language Models in Psychological Research: A Guide for Reviewers,https://osf.io/ag7hy
55,Large Language Models as Moral Experts? GPT-4o Outperforms Expert Ethicist in Providing Moral Guidance,https://osf.io/w7236
56,Stick to your Role! Stability of Personal Values Expressed in Large Language Models,https://osf.io/qrg2j
57,Perils and Opportunities in Using Large Language Models in Psychological Research,https://osf.io/tg79n
58,Perils and Opportunities in Using Large Language Models in Psychological Research,https://osf.io/d695y
59,The limitations of large language models for understanding human language and cognition,https://osf.io/hbwrg
60,"Introducing CounseLLMe: A dataset of simulated mental health dialogues for comparing LLMs like Haiku, LLaMAntino and ChatGPT against humans",https://osf.io/vhmqs
61,Techniques for supercharging academic writing with generative AI,https://osf.io/9yhwz
62,Exploring The Prospects And Challenges Of Large Language Models For Language Learning And Production,https://osf.io/zw8q9
63,A Technological Construction of Society: Comparing GPT-4 and Human Respondents for Occupational Evaluation in the UK,https://osf.io/8bc4n
