,0,1
0,Preparing humanity for change and artificial intelligence,https://osf.io/g5qwc
1,Babbling stochastic parrots? A Kripkean argument for reference in large language models,https://osf.io/pj6tg
2,"Valence, Arousal, and Dominance in Hip-Hop Lyrics Across Time",https://osf.io/bk85g
3,theoraizer: AI-assisted Theory Construction,https://osf.io/gu9yq
4,A short-form AI literacy intervention can reduce over-reliance on AI,https://osf.io/hv9qc
5,Caution with AI deception: AI could serve as the scapegoat of Human!,https://osf.io/u4z9q
6,Modeling Concept System,https://osf.io/vzr7t
7,Large Language Models and the Wisdom of Small Crowds,https://osf.io/a48zq
8,A clarification of the conditions under which Large language Models could be conscious,https://osf.io/gp3vx
9,Whither developmental psycholinguistics?,https://osf.io/zm57t
10,Whither developmental psycholinguistics?,https://osf.io/zm57t
11,Direct Human-AI Comparison in the Animal-AI Environment,https://osf.io/me3xy
12,AI-induced Indifference: Unfair AI Reduces Prosociality,https://osf.io/cdt2j
13,A Runtime Framework of mind,https://osf.io/gmbc8
14,Can AI Agents Help Humans to Connect?,https://osf.io/muq6s
15,Lower Artificial Intelligence Literacy Predicts Greater AI Receptivity,https://osf.io/t9u8g
16,Surprising gender biases in GPT,https://osf.io/mp27q
17,Recommendations for the Empirical Assessment  of Human-AI Work Systems: A Contribution to AI Measurement Science,https://osf.io/z3yek
18,Are AI safety and AI ethics memetic rivals?,https://osf.io/3rpwt
19,A machine learning perspective on responsible gambling,https://osf.io/sxbaq
20,Scorecard for Self-Explaining Capabilities of AI Systems,https://osf.io/78wxn
21,Volitional control of piloerection: objective evidence and its potential utility in neuroscience research,https://osf.io/dpvsb
22,Humanoid co-workers: How is it like to work with a robot?,https://osf.io/524nx
23,Computational Personality Assessment - An Overview and Perspective,https://osf.io/ck2bj
24,Engineering the Mind: Actionable Technical Requirements for Innovation in Clinical Neuroscience,https://osf.io/mh26v
25,Requirements for the Empirical Assessment  of Human-AI Work Systems: A Contribution to AI Measurement Science,https://osf.io/j8t3c
26,Influencing laughter with AI-mediated communication,https://osf.io/ysf7v
27,Beyond Control: Will to Power in AI,https://osf.io/gn7ur
