,0,1
0,In Praise of Empathic AI,https://osf.io/py8tv
1,Telematics: Tele-Operated System,https://osf.io/a49nm
2,Personality associations with attitudes toward AI,https://osf.io/bhcfq
3,Some Characteristics and Arguments in Favor of a Science of Machine Behavior Analysis,https://osf.io/ha3wr
4,"Assessing the Influence of Personal Traits, Experiences, and Attitudes on the Perception of AI-generated Artworks",https://osf.io/7s6nu
5,The AI-Human Unethicality Gap: Plagiarizing AI-generated Content Is Seen As More Permissible,https://osf.io/na3wb
6,Abilities of Current Artificial Intelligence Systems to Learn Social Skills,https://osf.io/r3ktj
7,The Human Roots of Artificial Intelligence,https://osf.io/cseqt
8,Americans’ attitudes toward advancements in generative artificial intelligence,https://osf.io/q6x23
9,Kunstmatige intelligentie voor klinische toepassing van beeldvorming in de psychiatrie,https://osf.io/whns9
10,The Conceptualization and Measurement of Emotion in Machine Learning: A Critical Appraisal and Recommendations from Psychology,https://osf.io/edrw3
11,"Mental Time-Travel, Semantic Flexibility, and A.I. Ethics",https://osf.io/zqrk7
12,Developmental changes in perceived moral standing of robots,https://osf.io/xtgys
13,Preparing humanity for change and artificial intelligence,https://osf.io/g5qwc
14,Does Explainable Artificial Intelligence Improve Human Decision-Making?,https://osf.io/d4r9t
15,Computational Power and Subjective Quality of AI-generated Outputs: The Case of Aesthetic Judgement and Positive Emotions in AI-generated Art,https://osf.io/f4wpe
16,"Hey ChatGPT, give me a title for a paper about degree apathy and student use of AI for assignment writing",https://osf.io/bxs6m
17,"Public attitudes towards algorithmic personalization and use of personal data online: Evidence from Germany, Great Britain, and the United States",https://osf.io/3q4mg
18,Robot Consciousness,https://osf.io/q7jrb
19,Real-time Assembly of Coordination Patterns in Human Infants,https://osf.io/vrp37
20,"ChatGPT is not an author, but then, who is eligible for authorship?",https://osf.io/h5aj3
21,Do large language models resemble humans in language use?,https://osf.io/s49qv
22,"Hey ChatGPT, give me a title for a paper about degree apathy and student use of AI for assignment writing",https://osf.io/bxs6m
23,What label should be applied to content produced by generative AI?,https://osf.io/v4mfz
24,Curiosity-driven exploration: Diversity of mechanisms and functions,https://osf.io/n2byt
25,"Public attitudes towards algorithmic personalization and use of personal data online: Evidence from Germany, Great Britain, and the United States",https://osf.io/3q4mg
26,Overprecision is a property of thinking systems,https://osf.io/fxswm
27,Thoughts of God and acceptance of artificial intelligence: A replication,https://osf.io/phb9r
28,Text Classification of German Mental Healthcare Data: A Hands-on Tutorial on Natural Language Processing Techniques.,https://osf.io/5xch6
29,Extending Perspective Taking to Nonhuman Animals and Artificial Entities,https://osf.io/py97r
30,Extending Perspective Taking to Nonhuman Animals and Artificial Entities,https://osf.io/py97r
31,Practical foundations of machine learning for addiction research. Part I. Methods and techniques,https://osf.io/ast53
32,The imperative of interpretable machines,https://osf.io/8yx6c
33,A reward shaping method for promoting metacognitive learning,https://osf.io/qj346
34,Strategic thinking In Artificial Intelligence And Expert:Problem Solving and Creativity,https://osf.io/8c6rh
35,"Artificial intelligence, machine learning, and mental healthcare: An introduction for mental health services and clinicians",https://osf.io/a52kr
36,"Screening Smarter, Not Harder: A Comparative Analysis of Machine Learning Screening Algorithms and Heuristic Stopping Criteria for Systematic Reviews in Educational Research",https://osf.io/fpwc2
37,Creating Diverse and Inclusive Scientific Practices for Research Datasets and Dissemination,https://osf.io/dr5hg
38,Attitudes towards artificial intelligence at work: Scale development and validation.,https://osf.io/sxdp9
39,Enhancing Differential Privacy in Mobility Data Release with Deep Reinforcement Learning,https://osf.io/9byfr
40,Which Humans?,https://osf.io/5b26t
41,Enhancing Differential Privacy in Mobility Data Release with Deep Reinforcement Learning,https://osf.io/9byfr
42,Privacy Preserving Machine Learning Algorithms  Using Local Information Privacy,https://osf.io/x5mc4
43,"Screening Smarter, Not Harder: A Comparative Analysis of Machine Learning Screening Algorithms and Heuristic Stopping Criteria for Systematic Reviews in Educational Research",https://osf.io/fpwc2
44,Tutorial: Applying Machine Learning in Behavioral Research,https://osf.io/9w6a3
45,ChatGPT Is More Likely to Be Perceived as Male Than Female,https://osf.io/9nmgb
46,Action Identification Characteristics and Priming Effects in ChatGPT,https://osf.io/aqbvk
47,Brief exposure increases mind perception to ChatGPT and is moderated by the individual propensity to anthropomorphize,https://osf.io/pn29d
48,Fit-for-Purpose Creativity Assessment: Automatic scoring of the Test of Creative Thinking - Drawing Production (TCT-DP),https://osf.io/q4j2s
49,Artificial intelligence in psychology research,https://osf.io/rva3w
50,Thera-Turing Test: A Framework for Evaluating Mental Health Artificial Intelligence-Based Chatbots,https://osf.io/wdn2b
51,Methods for the Explanation of Machine Learning Processes and Results for Non-Experts,https://osf.io/54eub
52,Machine Learning to Analyze Single-Case Data: A Replication and Extension,https://osf.io/ydgh9
