,0,1
0,Cognitive science as a guide for the use of LLMs in education,https://osf.io/jh95z
1,Can Large Language Models Help Augment English Psycholinguistic Datasets?,https://osf.io/jvenz
2,Emotion-injecting prompt for large language model chatbot,https://osf.io/u5dft
3,Properties of Person Descriptors in the Natural German Language: A Preregistered Replication and Extension,https://osf.io/s8h7u
4,theoraizer: AI-assisted Theory Construction,https://osf.io/gu9yq
5,Do Chatbots Exhibit Personality Traits? A Comparison of ChatGPT and Gemini,https://osf.io/xh9my
6,Comparing Theory of Mind In Large Language Model and Human: Imagine Omniscient Power,https://osf.io/zu3rw
7,The Conceptual Structure of Human Relationships Across Modern and Historical Cultures,https://osf.io/ut6qp
8,Large Language Models Can Enhance Persuasion Through Linguistic Feature Alignment,https://osf.io/fdzqg
9,"Machine vs. Human, who makes better judgment? Take Large Language Model GPT-4 For Example (Version 2)",https://osf.io/4gh7y
10,Turing Jest: Do Large Language Models have a Sense of Humor?,https://osf.io/6xfn8
11,Essays written by GPT and human subjects under the same conditions display the same emotional responses,https://osf.io/y7jcz
12,Emotional Intelligence of GPT-4 Large Language Model,https://osf.io/b6vys
13,Conversational User Interfaces: Explanations and Interactivity Positively Influence Advice Taking from Generative Artificial Intelligence,https://osf.io/jq9se
14,"Safeguarding Cognitive Well-being in an AI-Augmented World: A Socio-Technical Systems Perspective on Neuroethics, Technostress, and Risk Management",https://osf.io/97fyg
15,From a Large Language Model to Three-Dimensional Sentiment,https://osf.io/kaeqy
16,Accelerated Cognitive Warfare via The Dual Use of Large Language Models,https://osf.io/2xwm8
17,"""Feels like I've known you forever"": empathy and self-awareness in human open-domain dialogs",https://osf.io/9qptj
18,Outcomes that matter to depressed adolescents can be identified with large language models,https://osf.io/t9fcp
19,Large language models as models of human cognition,https://osf.io/wxt69
20,"Exploring Predictors of Facial Impressions: An Integrated Approach Utilizing VAE, Grad-CAM, and GPT-4V",https://osf.io/uat6b
21,Quantifying UncertAInty: Testing the Accuracy of LLMs’ Confidence Judgments,https://osf.io/47df5
22,Using cognitive psychology to understand GPT-3,https://osf.io/6dfgk
23,"Assessing Novelty, Feasibility, and Value of Creative Ideas with an Unsupervised Approach Using GPT-4",https://osf.io/qr3fs
24,Bridging the gap through common features: The semantic structure of creative metaphors,https://osf.io/4fzgs
25,Automating Psychological Hypothesis Generation with AI: Large Language Models Meet Causal Graph,https://osf.io/7ck9m
26,Can Generative AI Infer Thinking Style from Language? Evaluating the Utility of AI as a Psychological Text Analysis Tool,https://osf.io/zy8gr
27,Everything everywhere all at once: Exploring the richness of visual experience beyond words,https://osf.io/2z85g
28,How funny is ChatGPT? A comparison of human- and A.I.-produced jokes,https://osf.io/5yz8n
29,"Beyond Rating Scales: With Targeted Evaluation, Language Models are Poised for Psychological Assessment",https://osf.io/yfd8g
30,Automated Scoring of Scientific Creativity in German,https://osf.io/be7yr
31,Whodunnit? Inferring what happened from multimodal evidence,https://osf.io/gpzms
32,Personality in Just a Few Words: Assessment Using Natural Language Processing,https://osf.io/3m9pu
33,Artificial intelligence in psychology research,https://osf.io/rva3w
34,GPT is an effective tool for multilingual psychological text analysis,https://osf.io/sekf5
35,Psilocybin Therapy for Treatment Resistant Depression: Prediction of Clinical Outcome by Natural Language Processing,https://osf.io/kh3cx
36,Prompting sometimes invokes expert-like downward shifts in multimodal models’ conceptual hierarchies,https://osf.io/uc6d4
37,Global Evidence on the Motives for Sustainable Behaviors,https://osf.io/syku6
