,0,1
0,"Assessing Novelty, Feasibility, and Value of Creative Ideas with an Unsupervised Approach Using GPT-4",https://osf.io/qr3fs
1,The pragmatic profile of ChatGPT: assessing the communicative skills of a conversational agent,https://osf.io/ckghw
2,AI in Relationship Counselling: Evaluating ChatGPT’s Therapeutic Capabilities in Providing Relationship Advice,https://osf.io/3zajt
3,Large language models as models of human cognition,https://osf.io/wxt69
4,Thinking Creatively Makes You Happier. Using Latent Semantic Distance To Investigate Happiness,https://osf.io/q9x8m
5,Formulation as Representation - Modelling the Cognitive Space of Mental Health Clinical Reasoning,https://osf.io/b4j39
6,Is ChatGPT Effective in Providing Educational Feedback? A Quantitative Analysis of Summative Feedback,https://osf.io/zrmhs
7,Are Chatbots the New Relationship Experts? Insights from Three Studies,https://osf.io/nh3v9
8,Turing Jest: Do Large Language Models have a Sense of Humor?,https://osf.io/6xfn8
9,Accelerated Cognitive Warfare via The Dual Use of Large Language Models,https://osf.io/2xwm8
10,Attributions toward Artificial Agents in a modified Moral Turing Test,https://osf.io/4gxtk
11,How funny is ChatGPT? A comparison of human- and A.I.-produced jokes,https://osf.io/5yz8n
12,Quantifying UncertAInty: Testing the Accuracy of LLMs’ Confidence Judgments,https://osf.io/47df5
13,Automating Psychological Hypothesis Generation with AI: Large Language Models Meet Causal Graph,https://osf.io/7ck9m
14,Using embeddings to automate jingle–jangle detection and tackle taxonomic incommensurability,https://osf.io/9h7aw
15,Baby steps in evaluating the capacities of large language models,https://osf.io/uacjm
16,Comparing Children and Large Language Models in Word Sense Disambiguation: Insights and Challenges,https://osf.io/zgy7v
17,Generating Meaning: Active Inference and the Scope and Limits of Passive AI,https://osf.io/8xgzv
18,Language-based game theory in the age of artificial intelligence,https://osf.io/cuf8z
19,Outcomes that matter to depressed adolescents can be identified with large language models,https://osf.io/t9fcp
20,Coping through Precise Labeling of Emotions: A Deep Learning Approach to Studying Emotional Granularity in Consumer Reviews,https://osf.io/hjtfn
21,Constraint satisfaction in large language models,https://osf.io/xfnpb
22,"Language Writ Large:  LLMs, ChatGPT, Grounding, Meaning and Understanding",https://osf.io/ch2wx
23,From a Large Language Model to Three-Dimensional Sentiment,https://osf.io/kaeqy
24,P(doom) versus AI optimism: attitudes toward artificial intelligence and the factors that shape them,https://osf.io/cenwv
25,How to write effective prompts for large language models,https://osf.io/r78fc
26,Large Language Models and the Wisdom of Small Crowds,https://osf.io/a48zq
27,How Can Deep Neural Networks Inform Theory in Psychological Science?,https://osf.io/j5ckf
28,"Navigating Relationships with ChatGPT: User Attitudes, Acceptability, and Potential",https://osf.io/gtr7n
29,“Real proof instead of over hyped up bullshit”: Exploring the content of what would change people’s minds about climate change using OpenAI’s GPT,https://osf.io/wsyqd
30,A Looking Glass into a Research Wonderland: 40 Years of Virtual Reality Scholarship Explicated via Natural Language Processing,https://osf.io/2z5cj
31,Large Language Models in Psychology: Application in the Context of a Systematic Literature Review.,https://osf.io/nq4d2
32,Using large language models to facilitate academic work in psychological sciences,https://osf.io/a4thd
33,Do Large Language Models Understand Verbal Indicators of Romantic Attraction?,https://osf.io/fqkgn
34,"The Seven Wonderings of Large Language Models as Psychometric Designers, Refiners, and Analysts",https://osf.io/kmqy5
35,A tutorial on open-source large language models for behavioral science,https://osf.io/f7stn
36,Large Language Models Show Human Behavior,https://osf.io/munc9
37,Folk Psychological Attributions of Consciousness to Large Language Models,https://osf.io/5cnrv
38,Should large language models replace human participants?,https://osf.io/4zdx9
39,"Beyond Rating Scales: With Targeted Evaluation, Language Models are Poised for Psychological Assessment",https://osf.io/yfd8g
40,Evaluating Large Language Models in Psychological Research: A Guide for Reviewers,https://osf.io/ag7hy
41,Bridging the data gap between children and large language models,https://osf.io/qzbgx
42,Evaluating Large Language Models for Assisting in Meta-Analysis,https://osf.io/dc6tz
43,Perils and Opportunities in Using Large Language Models in Psychological Research,https://osf.io/d695y
44,The Use of Large Language Models for Qualitative Research: DECOTA,https://osf.io/t5gbv
45,Stick to your Role! Stability of Personal Values Expressed in Large Language Models,https://osf.io/qrg2j
46,Usage-based constructionist approaches and Large Language Models,https://osf.io/8bmwz
47,“Chat-GPT on the Couch”: Assessing and Alleviating  State Anxiety in Large Language Models,https://osf.io/j7fwb
48,Large Language Models Amplify Human Biases in Moral Decision-Making,https://osf.io/aj46b
49,Using Large Language Models to Augment (Rather Than Replace) Human Feedback in Higher Education Improves Perceived Feedback Quality,https://osf.io/tvcag
50,Large language models could change the future of behavioral healthcare:  A proposal for responsible development and evaluation,https://osf.io/cuzvr
51,Automatic Scoring of Creative Problem-Solving with Large Language Models: A Comparison of Originality and Quality Ratings,https://osf.io/g5qvf
