,0,1
0,Durably reducing conspiracy beliefs through dialogues with AI,https://osf.io/xcwdn
1,Whither developmental psycholinguistics?,https://osf.io/zm57t
2,Verbal Reports as Data Revisited: Using Natural Language Models to Validate Cognitive Models,https://osf.io/eukqr
3,Large language models complement human participants through role simulation,https://osf.io/uqxcb
4,Can we utilize Large Language Models (LLMs) to generate useful linguistic corpora? A case study of the word frequency effect in young German readers,https://osf.io/gm9b6
5,Thinking Creatively Makes You Happier. Using Latent Semantic Distance To Investigate Happiness,https://osf.io/q9x8m
6,Math anxiety and associative knowledge structure are entwined in psychology undergraduate students but not in Large Language Models,https://osf.io/e5t7a
7,A Stateful Multi-Context Aware Design Using OpenAI's GPT (Towards Digital Sentience),https://osf.io/bx29f
8,A Practical Approach to Deploying LLM Chatbots for Human-AI Interaction Research,https://osf.io/mhs37
9,Validity of Large Language Models for Sentiment Analysis: Evidence of performance comparable to human coders,https://osf.io/kcuwy
10,Validity of Large Language Models for Sentiment Analysis: Evidence of performance comparable to human coders,https://osf.io/kcuwy
11,Overlap in Meaning Is a Stronger Predictor of Semantic Activation in GPT-3 Than in Humans,https://osf.io/dx5hc
12,Transparency Guidance  for ChatGPT Usage in Scientific Writing,https://osf.io/b58ex
13,A Looking Glass into a Research Wonderland: 40 Years of Virtual Reality Scholarship Explicated via Natural Language Processing,https://osf.io/2z5cj
14,Perceptions of Artificial Intelligence system's aptitude to judge morality and competence amidst the rise of chatbots,https://osf.io/vsxr4
15,Leveraging ChatGPT for Efficient Fact-Checking,https://osf.io/qnjkf
16,AI Psychometrics: Assessing the psychological profiles of large language models through psychometric inventories,https://osf.io/jv5dt
17,Automating Psychological Hypothesis Generation with AI: Large Language Models Meet Causal Graph,https://osf.io/7ck9m
18,Large Language Models Can Enhance Persuasion Through Linguistic Feature Alignment,https://osf.io/fdzqg
19,Using Large Language Models to Augment (Rather Than Replace) Human Feedback in Higher Education Improves Perceived Feedback Quality,https://osf.io/tvcag
20,Large Language Models and the Wisdom of Small Crowds,https://osf.io/a48zq
21,"Introducing CounseLLMe: A dataset of simulated mental health dialogues for comparing LLMs like Haiku, LLaMAntino and ChatGPT against humans",https://osf.io/vhmqs
22,The Performance of Large Language Models on Quantitative and Verbal Ability Tests: Initial Evidence and Implications for Unproctored High-stakes Testing,https://osf.io/9cs23
23,Babbling stochastic parrots? A Kripkean argument for reference in large language models,https://osf.io/pj6tg
24,Large Language Models in Psychology: Application in the Context of a Systematic Literature Review.,https://osf.io/nq4d2
25,Can Large Language Models Help Augment English Psycholinguistic Datasets?,https://osf.io/jvenz
26,The threat of Artificial Intelligence to online qualitative methods: an experiential account.,https://osf.io/9cpg7
27,"Language Writ Large:  LLMs, ChatGPT, Grounding, Meaning and Understanding",https://osf.io/ch2wx
28,Do Chatbots Exhibit Personality Traits? A Comparison of ChatGPT and Gemini,https://osf.io/xh9my
29,Perils and Opportunities in Using Large Language Models in Psychological Research,https://osf.io/d695y
30,Accelerated Cognitive Warfare via The Dual Use of Large Language Models,https://osf.io/2xwm8
31,Benefits and Harms of Large Language Models in Digital Mental Health,https://osf.io/y8ax9
32,From a Large Language Model to Three-Dimensional Sentiment,https://osf.io/kaeqy
33,Quantifying UncertAInty: Testing the Accuracy of LLMs’ Confidence Judgments,https://osf.io/47df5
34,Studying the Effect of Globalization on Color Perception using Multilingual Online Recruitment and Large Language Models,https://osf.io/3jvxw
35,"The Seven Wonderings of Large Language Models as Psychometric Designers, Refiners, and Analysts",https://osf.io/kmqy5
36,Turing Jest: Do Large Language Models have a Sense of Humor?,https://osf.io/6xfn8
37,Influence of believed AI involvement on the perception of digital medical advice,https://osf.io/35hn8
38,The Structure of Everyday Choice: Insights from 100K Real-life Decision Problems,https://osf.io/hzv7c
39,Evaluating Large Language Models in Psychological Research: A Guide for Reviewers,https://osf.io/ag7hy
40,Evaluating Large Language Models in Psychological Research: A Guide for Reviewers,https://osf.io/ag7hy
41,The Structure of Everyday Choice: Insights from 100K Real-life Decision Problems,https://osf.io/hzv7c
42,theoraizer: AI-assisted Theory Construction,https://osf.io/gu9yq
43,Uncovering patterns of semantic predictability in sentence processing,https://osf.io/znkpg
44,"""Clinical Reach into the Cognitive Space"" (CRITiCS) - An outline conceptual framework for the safe use of generative artificial intelligence in mental health decision making.",https://osf.io/wpe2c
45,Exploring the Sources of Variance in Risky Decision Making with Large Language Models,https://osf.io/3hrnc
46,Large Language Models Amplify Human Biases in Moral Decision-Making,https://osf.io/aj46b
47,The limitations of large language models for understanding human language and cognition,https://osf.io/hbwrg
48,Skill but not Effort Drive GPT Overperformance over Humans in Cognitive Reframing of Negative Scenarios,https://osf.io/fzvd8
49,Self-Other Dynamics (SOD): A Transtheoretical Coding Manual,https://osf.io/tk268
50,Self-Other Dynamics (SOD): A Transtheoretical Coding Manual,https://osf.io/tk268
51,Pragmatic Implicature Processing in ChatGPT,https://osf.io/qtbh9
