,0,1
0,"Analysis of Artificial Intelligence Applications in Healthcare: a review of technologies, ethical concerns, and regulatory issues",https://osf.io/beudp
1,Non-Fascist AI,https://osf.io/b64sw
2,Can AI  Write Persuasive Propaganda?,https://osf.io/fp87b
3,Practical Lessons for Government AI Projects,https://osf.io/ka5vd
4,In Silico Sociology: Forecasting COVID-19 Polarization with Large Language Models,https://osf.io/7dfbc
5,Wrapped Up in the Cis-Tem: Trans Liveability in the Age of Algorithmic Violence,https://osf.io/tracm
6,"Revisiting the Nexus Between Digital Disruption and Cognitive Psychology, Quantifying the Paradigmatic Shift: Analyzing the Transformative Impact of Digital Disruption on Cognitive Processes",https://osf.io/et4ca
7,The Imitation Game: Examining Regulatory Challenges of  Political Deepfakes in the European Union,https://osf.io/59qjw
8,Listening Through the Firewall: A Sonic Narrative of Communication Between Taiwan and China,https://osf.io/ascnh
9,Gifted High School Students’ Needs for English Learning in Vietnam Contexts,https://osf.io/zxhrw
10,Infrastructures of Surveillance and Control in the Invisible City of Waste,https://osf.io/bavsy
11,"Experimental AI, Art&amp;Play Performances: Hybrid Ludic Assemblages.",https://osf.io/jwcfe
12,Machine Learning and the Reproduction of Inequality,https://osf.io/bq43y
13,Global competition and convergence of AI Law,https://osf.io/j36ke
14,AI – Ready? How African governments are assembling policy in anticipation for data and AI driven techno-futures.,https://osf.io/zkuhv
15,Artificial Intelligence in Advancing Mental Health Support Systems: Challenges and Prospects,https://osf.io/dt7wz
16,Immigration and Regional Specialization in AI,https://osf.io/9a45d
17,"New Legal Paradigms Regulating of Artificial Intelligence in Healthcare: The Advances, Deficits and Pitfalls of Laws in the United States and the European Union",https://osf.io/tfuew
18,Predicting the Self with Generative AI,https://osf.io/eh9sk
19,Gender Dynamics in Human-AI Role-Taking,https://osf.io/cv68g
20,Adapting to AI: How Will Generative AI Affect Work? How Should We Respond?,https://osf.io/ejqan
21,The Scale of Artificial Intelligence Literacy for all (SAIL4ALL): A Tool for Assessing Knowledge on Artificial Intelligence in All Adult Populations and Settings,https://osf.io/bvyku
22,Outline Framework for NFTs and Blockchains for Digital Provenance,https://osf.io/whmxb
23,Using Scratch to Teach Undergraduate Students Skills on AI,https://osf.io/x24m6
24,An Ancient African Knowledge System’s Resurgence in the Age of AI,https://osf.io/h3stz
25,"Can AI governance be progressive? Group interests, group privacy and abnormal justice",https://osf.io/78mf3
26,Generative AI in the Workplace: Employee Perspectives of ChatGPT Benefits and Organizational Policies,https://osf.io/b3ezy
27,AI Ethics Training in Higher Education: Competency Framework,https://osf.io/x5nck
28,What costs should we expect from the EU’s AI Act?,https://osf.io/8nzb4
29,A Technological Construction of Society: Comparing GPT-4 and Human Respondents for Occupational Evaluation in the UK,https://osf.io/8bc4n
30,Minority Ethnic Vulnerabilities in the Use of Digital Housing Services Across Age Groups,https://osf.io/jtc8k
31,Integration of AI into the Distance Learning Environment: Enhancing Soft Skills,https://osf.io/eswb7
32,The Liar’s Dividend: Can Politicians Claim Misinformation to Evade Accountability?,https://osf.io/x43ph
33,Assessing Bias in LLM-Generated Synthetic Datasets: The Case of German Voter Behavior,https://osf.io/97r8s
34,Behavioural Artificial Intelligence: An Agenda for  Systematic Empirical Studies of Artificial Inference,https://osf.io/mrqf4
35,Policies in Parallel? A Comparative Study of Journalistic AI Policies in 52 Global News Organisations,https://osf.io/c4af9
36,Integrating Artificial Intelligence in Naruto Fan Fiction Writing: A Case Study,https://osf.io/yqjcs
37,"Vox Populi, Vox AI? Using Language Models to Estimate German Public Opinion",https://osf.io/8je9g
38,The Double-Edged Sword of AI Writing Tools,https://osf.io/wnpd5
39,Literature meets Artificial Intelligence: The Way Ahead,https://osf.io/7r8hj
40,Recruitment AI has a Disability Problem: anticipating and mitigating unfair automated hiring decisions,https://osf.io/8sxh7
41,Harnessing AI Chatbots for EFL Essay Writing: A Paradigm Shift in Language Pedagogy,https://osf.io/xrvth
42,Certification Systems for Machine Learning: Lessons from Sustainability,https://osf.io/pm3wy
43,Can Artificial Intelligence (“AI”) Replace Human Arbitrators? Technological Concerns and Legal Implications,https://osf.io/k4g8s
44,Legal AI Systems in the EU’s proposed Artificial Intelligence Act,https://osf.io/kpz5t
45,"Debating AI in archaeology: applications, implications, and ethical considerations",https://osf.io/r2j7h
46,The Peril and Promise of AI for Journalism,https://osf.io/pk8nw
47,"Navigating the AI Era: Understanding Mechanisms, Impacts, and Policy Interventions for Inclusive Employment in Malaysia",https://osf.io/2kbj5
