,0,1
0,"An Ethical Framework for a Good AI Society: Opportunities, Risks, Principles, and Recommendations",https://osf.io/2hfsc
1,Viral Automation: The Case of COVID-19,https://osf.io/u6fht
2,The Double-Edged Sword of AI Writing Tools,https://osf.io/wnpd5
3,Students’ Attitudes toward Using Chatbot in EFL Learning,https://osf.io/7zymj
4,The future(s) of unpaid work: How susceptible do experts from different backgrounds think the domestic sphere is to automation,https://osf.io/vzwyd
5,THE LABOR INPUT IN THE AGE OF ARTIFICIAL INTELLIGENCE,https://osf.io/zgjp2
6,METI (Messaging Extra Terrestrial Intelligence) is irrational and should be abandoned,https://osf.io/cr479
7,Bias Mitigation in Data Sets,https://osf.io/z8qrb
8,An Ancient African Knowledge System’s Resurgence in the Age of AI,https://osf.io/h3stz
9,"The social construction of datasets: On the practices, processes and challenges of dataset creation for machine learning",https://osf.io/8c9uh
10,"Race, Ethnicity, and the Future of Work",https://osf.io/e37cu
11,Algorithmic content moderation: Technical and political challenges in the automation of platform governance,https://osf.io/fj6pg
12,ONTOLOGICAL LOCATION AND IDENTITY FORMATION IN WESTERFELD’S EXTRAS: A POSTHUMANIST STUDY,https://osf.io/x73s6
13,High-stakes team based public sector decision making and AI oversight,https://osf.io/arq3w
14,"What knowledge does ChatGPT have regarding open science, and can it provide good advice about it?",https://osf.io/awhuf
15,Gamifying the past – archaeogaming by archaeologists,https://osf.io/fxs6c
16,Explainable AI and Law: An Evidential Survey,https://osf.io/dypn2
17,AI Ethics Training in Higher Education: Competency Framework,https://osf.io/x5nck
18,Linguistic Exploratory Data Analysis vis-à-vis Shri Bhagavad Gita,https://osf.io/a9zkj
19,Generative AI in the Workplace: Employee Perspectives of ChatGPT Benefits and Organizational Policies,https://osf.io/b3ezy
20,Linguistic Exploratory Data Analysis vis-à-vis Shri Bhagavad Gita,https://osf.io/a9zkj
21,Generative AI in the Workplace: Employee Perspectives of ChatGPT Benefits and Organizational Policies,https://osf.io/b3ezy
22,Ethical by Design: Measuring and Managing Digital Ethics in the Enterprise,https://osf.io/gj2kf
23,When Does it Pay Off to Learn a New Skill? Revealing the Complementary Benefit of Cross-Skilling,https://osf.io/sv9de
24,Artificial Intelligence and Public Values:  A Literature Review,https://osf.io/yq57a
25,"ChatGPT Integrated Grammar Teaching and Learning in EFL Classes: A Study on Tishk International University Students in Erbil, Iraq",https://osf.io/a4f98
26,Authenticity and the Poor Image in the Age of Deep Learning,https://osf.io/wnf5d
27,"Vox Populi, Vox AI? Using Language Models to Estimate German Public Opinion",https://osf.io/8je9g
28,Assessing Bias in LLM-Generated Synthetic Datasets: The Case of German Voter Behavior,https://osf.io/97r8s
29,Weaponised Artificial Intelligence and Use of Force Norms,https://osf.io/gszmu
30,"Big Data, Data Science and Emerging Analytic tools : Impact in social science",https://osf.io/ft27y
31,"Complexity, Environment and Future Aesthetics: From New Media to Non-Media",https://osf.io/njevw
32,Linking artificial intelligence facilitated academic misconduct to existing prevention frameworks,https://osf.io/5cvs7
33,Harnessing the Power of Artificial Intelligence to Forecast Startup Success: An Empirical Evaluation of the SECURE AI Model,https://osf.io/p3gyb
34,Using Artificial Intelligence for Essay Writing,https://osf.io/vtcz9
35,Using Artificial Intelligence in English As A Foreign Language Classrooms: Ethical Concerns and Future Prospects,https://osf.io/gr8yt
36,ChatGPT and Academic Writing Self-Efficacy: Unveiling Correlations and Technological Dependency among Postgraduate Students,https://osf.io/9amk8
37,Is Artificial Intelligence a Utopia or the Future of Foreign Language Learning,https://osf.io/qr7fu
38,Accountability in Artificial Intelligence,https://osf.io/wckuf
39,Locating the Intersection of Generative Artificial Intelligence and Human English Writing Skills: A Comparative Study,https://osf.io/4vq7a
40,Using ChatGPT and Other Large Language Model (LLM) Applications for Academic Paper Assignments,https://osf.io/d84q6
41,Predictive Algorithms in the Delivery of Public Employment Services,https://osf.io/j7r8y
42,Using satellites and artificial intelligence to measure health and material-living standards in India,https://osf.io/vf28g
43,Museums and the Metaverse: New signs of computational art and life,https://osf.io/438t2
44,"Navigating the Artificial Intelligence Frontier: Perceptions of Instructors, Students, and Administrative Staff on the Role of Artificial Intelligence in Education in the Sultanate of Oman",https://osf.io/ygwab
45,The Peril and Promise of AI for Journalism,https://osf.io/pk8nw
46,"Hybrid Scientists: Agency, AI, and the Science of Data",https://osf.io/nzswg
47,Pictorial research of pancreas with artificial intelligence and Baudrillard's simulacra in the works of Fellini,https://osf.io/yk652
