,0,1
0,Can Large Language Models (LLM) label topics from a topic model?,https://osf.io/23x4m
1,What Do Platform Workers Think?: Analysis of Truck Drivers’ Perspectives on Digital Platforms Using GPT-4,https://osf.io/k9ye4
2,Start Generating:  Harnessing Generative Artificial Intelligence for Sociological Research,https://osf.io/u9nft
3,Exploring EFL Learners’ Perspectives on Using AI Tools and Their Impacts in Reading Instruction: An Exploratory Study,https://osf.io/7e48b
4,Machine Learning and the Analysis of Culture,https://osf.io/nvtp2
5,Linking artificial intelligence facilitated academic misconduct to existing prevention frameworks,https://osf.io/5cvs7
6,In Silico Sociology: Forecasting COVID-19 Polarization with Large Language Models,https://osf.io/7dfbc
7,Do We Need a Social Media Accelerator?,https://osf.io/ucfbk
8,Ground-Truthing in the European Health Data Space,https://osf.io/uw4nq
9,Developing an occupational prestige scale using Large Language Models,https://osf.io/ct4vz
10,“Conversing” with Qualitative Data: Enhancing Qualitative Research through Large Language Models (LLMs),https://osf.io/yms8p
11,A Large Language Models Digest For Social Scientists,https://osf.io/m74vs
12,Large Language Models for Text Classification: From Zero-Shot Learning to Instruction-Tuning,https://osf.io/sthwk
13,What do Large Language Models ‘think’ determines occupational prestige?,https://osf.io/57tzm
14,Exploring the Impacts of ChatGPT on Future Scientific Work,https://osf.io/j2u9x
15,The Augmented Qualitative Researcher: Using Generative AI in Qualitative Text Analysis,https://osf.io/gkc8w
16,"Large Language Models, Social Demography, and Hegemony: Comparing Authorship in Human and Synthetic Text",https://osf.io/qfx4a
17,The Risks of Using Large Language Models for Text Annotation in Social Science Research,https://osf.io/79qu8
18,Synthetic Replacements for Human Survey Data? The Perils of Large Language Models,https://osf.io/5ecfa
19,Navigating the Digital Turn (Again): ChatGPT and Large Language Models in Anthropological Education,https://osf.io/h76tp
20,Machine Bias. Generative Large Language Models Have a View of Their Own,https://osf.io/r2pnb
21,Synthetic Duality: A Framework for Analyzing Natural Language Generation's Representation of Social Reality,https://osf.io/htxa4
22,AI Providers as Criminal Essay Mills? Large Language Models meet Contract Cheating Law,https://osf.io/cpbfd
23,Using ChatGPT and Other Large Language Model (LLM) Applications for Academic Paper Assignments,https://osf.io/d84q6
24,The Bot Delusion. Large language models and anticipated consequences for academics’ publication and citation behavior,https://osf.io/493qg
25,A Technological Construction of Society: Comparing GPT-4 and Human Respondents for Occupational Evaluation in the UK,https://osf.io/8bc4n
26,ANALYZING THE RELATIONSHIP BETWEEN MOVIE RATINGS AND TRANSLATION STYLE: A LARGE LANGUAGE MODEL APPROACH,https://osf.io/qe7u3
27,An Improved Framework for Scaling Party Positions from Texts with Transformer,https://osf.io/8sha3
28,Can AI  Write Persuasive Propaganda?,https://osf.io/fp87b
29,Beyond Bias: Studying ‘culture’ in LLMs and AI chatbots,https://osf.io/kz2xc
30,"Evaluating Translation Tools: Google Translate, Bing Translator, and Bing AI on Arabic Colloquialisms",https://osf.io/qh4tn
31,AI and Humans: Friends or Foes?,https://osf.io/k3fsa
32,"Sandboxes as “trading zones"" for engaging with AI regulation, ethics, and the EU AI Act: How to Reclaim Agency over the Future?",https://osf.io/59qna
33,Using Generative Pre-Trained Transformers (GPT) for Supervised Content Encoding: An Application in Corresponding Experiments,https://osf.io/6fpgj
34,Dynamic Few-shot Learning for Computational Social Science,https://osf.io/nfhe8
35,Digitising legislation: progress and prospects,https://osf.io/fpczw
36,Leveraging machine learning and bibliometrics in literature reviews,https://osf.io/xafrm
37,Smart Machines and the Learning Ideal,https://osf.io/kbzy7
38,Assessing Bias in LLM-Generated Synthetic Datasets: The Case of German Voter Behavior,https://osf.io/97r8s
39,AI translation  and intercultural communication: New questions for a new field of research,https://osf.io/r3zdx
40,The Ethics of Using Artificial Intelligence in Qualitative Research,https://osf.io/3rnbh
41,A Systematic Evaluation of Text Mining Methods for Short Texts: Mapping Individuals’ Internal States from Online Posts,https://osf.io/cerzs
42,ChatGPT's Capabilities in Spotting and Analyzing Writing Errors Experienced by EFL Learners,https://osf.io/eynuv
43,ChatGPT’s Capabilities in Spotting and Analyzing Writing Errors Experienced by EFL Learners,https://osf.io/chygw
44,"Vox Populi, Vox AI? Using Language Models to Estimate German Public Opinion",https://osf.io/8je9g
