,0,1
0,“Or they could just not use it?”: The Paradox of AI Disclosure for Audience Trust in News,https://osf.io/mdvak
1,Assessing Bias in LLM-Generated Synthetic Datasets: The Case of German Voter Behavior,https://osf.io/97r8s
2,"Vox Populi, Vox AI? Using Language Models to Estimate German Public Opinion",https://osf.io/8je9g
3,Can Large Language Models (LLM) label topics from a topic model?,https://osf.io/23x4m
4,Using ChatGPT and Other Large Language Model (LLM) Applications for Academic Paper Assignments,https://osf.io/d84q6
5,Navigating the Digital Turn (Again): ChatGPT and Large Language Models in Anthropological Education,https://osf.io/h76tp
6,Synthetic Replacements for Human Survey Data? The Perils of Large Language Models,https://osf.io/5ecfa
7,The Bot Delusion. Large language models and anticipated consequences for academics’ publication and citation behavior,https://osf.io/493qg
8,A Technological Construction of Society: Comparing GPT-4 and Human Respondents for Occupational Evaluation in the UK,https://osf.io/8bc4n
9,Extracting protest events from newspaper articles with ChatGPT,https://osf.io/dvht7
10,What Do Platform Workers Think?: Analysis of Truck Drivers’ Perspectives on Digital Platforms Using GPT-4,https://osf.io/k9ye4
11,Using Generative Pre-Trained Transformers (GPT) for Supervised Content Encoding: An Application in Corresponding Experiments,https://osf.io/6fpgj
12,In Silico Sociology: Forecasting COVID-19 Polarization with Large Language Models,https://osf.io/7dfbc
13,ChatGPT's Capabilities in Spotting and Analyzing Writing Errors Experienced by EFL Learners,https://osf.io/eynuv
14,ChatGPT’s Capabilities in Spotting and Analyzing Writing Errors Experienced by EFL Learners,https://osf.io/chygw
