Entry,Name,Status,Type
ada-002,Ada,closed,embedding
af-ai swedish bert,BERT,open,embedding
albert-base-v1,BERT,open,embedding
albert-base-v2,BERT,open,embedding
aleph alphas luminous-base,Luminous,closed,text
all-distilroberta-base-v1,BERT,open,embedding
all-distilroberta-base-v2,BERT,open,embedding
all-minilm-l12-v2,MiniLM,open,embedding
all-minilm-l6-v2,MiniLM,open,embedding
all-mpnet-base-v2,MPNet,open,embedding
alphafold,NA,NA,NA
anthropic claude,Claude,closed,text
anthropics claude,Claude,closed,text
anthropics claude 2,Claude,closed,text
anthropics claude 3 opus,Claude,closed,text
aws transcribe,NA,NA,NA
babyberta,BERT,open,embedding
baidu ernie,ERNIE,closed,text
bard,Bard,closed,text
bard (lamda),Bard,closed,text
bart,BART,open,other
bart-base,BART,open,other
bart-large-mnli,BART,open,other
bart-mnli,BART,open,other
base-bert,BERT,open,embedding
bert,BERT,open,embedding
bert (bert-base-uncased),BERT,open,embedding
bert (version not specified),BERT,open,embedding
bert base,BERT,open,embedding
bert base model,BERT,open,embedding
bert for ner,BERT,open,embedding
bert-base,BERT,open,embedding
bert-base (cased; 12-layer; 768-hidden; 12-heads; 110m parameters),BERT,open,embedding
bert-base-cased,BERT,open,embedding
bert-base-uncased,BERT,open,embedding
bert-large,BERT,open,embedding
bert-large-cased,BERT,open,embedding
bert-large-uncased,BERT,open,embedding
bertbase (uncased),BERT,open,embedding
bertlarge (uncased),BERT,open,embedding
bertopic,BERT,open,embedding
bertweet,BERT,open,embedding
bhadresh-savani/bert-base-uncased-emotion,BERT,open,embedding
bigsciences bloomz,BLOOM,open,text
bing,(Chat)GPT,closed,text
bing ai chat,(Chat)GPT,closed,text
bing chat,(Chat)GPT,closed,text
biolinkbert,BERT,open,embedding
biomed-roberta,BERT,open,embedding
biomed-roberta-long,BERT,open,embedding
biomedbert,BERT,open,embedding
blip image captioning base,BLIP,open,image
blip image captioning large,BLIP,open,image
bloom,BLOOM,open,text
bloom-7b,BLOOM,open,text
chat gpt,(Chat)GPT,closed,text
chat gpt-3.5,(Chat)GPT,closed,text
chat-gpt,(Chat)GPT,closed,text
chatgpt,(Chat)GPT,closed,text
chatgpt (chatgpt [version 3,(Chat)GPT,closed,text
chatgpt (compiled on february 16; 2023),(Chat)GPT,closed,text
chatgpt (feb 13 version),(Chat)GPT,closed,text
chatgpt (free version),(Chat)GPT,closed,text
chatgpt (gpt-3.5-turbo-0301),(Chat)GPT,closed,text
chatgpt (gpt-3.5-turbo),(Chat)GPT,closed,text
chatgpt (gpt-3.5),(Chat)GPT,closed,text
chatgpt (gpt-4-0613),(Chat)GPT,closed,text
chatgpt (gpt-4),(Chat)GPT,closed,text
chatgpt (openai 2023),(Chat)GPT,closed,text
chatgpt (version 3.5),(Chat)GPT,closed,text
chatgpt 3.5,(Chat)GPT,closed,text
chatgpt 3.5 (09/2023),(Chat)GPT,closed,text
chatgpt 3.5 turbo,(Chat)GPT,closed,text
chatgpt 3.5-0301,(Chat)GPT,closed,text
chatgpt 3.5-turbo,(Chat)GPT,closed,text
chatgpt 4,(Chat)GPT,closed,text
chatgpt 4 (09/2023),(Chat)GPT,closed,text
chatgpt 4 turbo,(Chat)GPT,closed,text
chatgpt 4.0,(Chat)GPT,closed,text
chatgpt 4o,(Chat)GPT,closed,text
chatgpt api,(Chat)GPT,closed,text
chatgpt api (version 3.5 turbo),(Chat)GPT,closed,text
chatgpt api (version 4 or 4o),(Chat)GPT,closed,text
chatgpt gpt-4-0125-preview,(Chat)GPT,closed,text
chatgpt model 3.5,(Chat)GPT,closed,text
chatgpt plus (gpt-4),(Chat)GPT,closed,text
chatgpt v.3.5,(Chat)GPT,closed,text
chatgpt version 4.0,(Chat)GPT,closed,text
chatgpt version 4.o,(Chat)GPT,closed,text
chatgpt-3,(Chat)GPT,closed,text
chatgpt-3 (february 2023 version),(Chat)GPT,closed,text
chatgpt-3.5,(Chat)GPT,closed,text
chatgpt-3.5 (plus),(Chat)GPT,closed,text
chatgpt-4,(Chat)GPT,closed,text
chatgpt-4-turbo-preview,(Chat)GPT,closed,text
chatgpt/gpt-4,(Chat)GPT,closed,text
chatgpt3,(Chat)GPT,closed,text
chatgpt4,(Chat)GPT,closed,text
chatgtp4,(Chat)GPT,closed,text
chatgtp4 turbo,(Chat)GPT,closed,text
chatsonic (gpt-4),(Chat)GPT,closed,text
claude,Claude,closed,text
claude (claude-2.1),Claude,closed,text
claude 1.0,Claude,closed,text
claude 2,Claude,closed,text
claude 2.0,Claude,closed,text
claude 3,Claude,closed,text
claude 3 (temperature 0.7),Claude,closed,text
claude 3 opus,Claude,closed,text
claude 3.0,Claude,closed,text
claude sonnet 3,Claude,closed,text
claude-2,Claude,closed,text
claude-2.1,Claude,closed,text
claude-3 opus,Claude,closed,text
claude-3-5-sonnet-20240620,Claude,closed,text
claude-3-opus-20240229,Claude,closed,text
claude.ai,Claude,closed,text
claude\s haiku,Claude,closed,text
clip,CLIP,open,image
clip (commonpool),CLIP,open,image
clip (conceptual-12m),CLIP,open,image
clip (datacomp-1b),CLIP,open,image
clip (laion-2b),CLIP,open,image
clip (laion-5b),CLIP,open,image
clip (openai),CLIP,open,image
code-davinci-002 (cdv2),(Chat)GPT,closed,text
codellama2-7b,Llama,open,text
cohere-embed-english-v3.0,Cohere,closed,embedding
copilot,Copilot,closed,text
cpc,NA,NA,NA
custom word embeddings (doc2vec),doc2vec,open,embedding
dall-e,Dall-E,closed,image
dall-e 2,Dall-E,closed,image
dall-e 3,Dall-E,closed,image
dall-e 3 with automatic prompt revision,Dall-E,closed,image
dall·e 2,Dall-E,closed,image
dalle-2,Dall-E,closed,image
dalle-3,Dall-E,closed,image
dall·e2,Dall-E,closed,image
davinci,NA,NA,NA
davinci (dv),NA,NA,NA
davinci-beta (dvb),NA,NA,NA
dbmdz/bert-large-cased-finetuned-conll03-english,BERT,open,embedding
deberta,BERT,open,embedding
deberta (deberta-v3-base),BERT,open,embedding
